---NODOS---
0,Lima,-12,-77
1,Ica,-14,-75
2,Arequipa,-16,-71
3,Cusco,-13,-72
4,Trujillo,-8,-79
5,Piura,-5,-80
6,Cajamarca,-7,-78
7,Puno,-15,-70
8,Tacna,-18,-70
9,Huancayo,-12,-75
10,Ayacucho,-13,-74
11,Chiclayo,-7,-80
12,Iquitos,-4,-73
13,Pucallpa,-8,-74
14,Puerto Maldonado,-12,-69
---ARISTAS---
0,1,306
0,2,1009
0,4,557
0,9,298
0,10,574
1,2,703
1,10,448
2,3,521
2,7,279
2,8,353
3,7,390
3,14,745
4,5,952
4,6,295
4,11,209
5,6,261
5,11,209
6,11,260
7,8,385
7,14,856
9,10,276
9,0,298
10,1,448
12,13,879
13,10,750
