---NODOS---
0,Lima,-12,-77
1,Trujillo,-8,-79
2,Chiclayo,-7,-80
3,Piura,-5,-80
4,Tumbes,-3,-80
5,Cajamarca,-7,-78
6,Chimbote,-9,-78
7,Huaraz,-9,-77
8,Huanuco,-10,-76
9,Cerro de Pasco,-10,-76
10,Tingo Maria,-9,-76
11,Iquitos,-4,-73
12,Tarapoto,-6,-76
13,Moyobamba,-6,-77
14,Yurimaguas,-6,-76
---ARISTAS---
0,6,420
0,7,404
0,9,306
0,1,557
1,2,209
1,6,167
1,5,295
1,7,450
2,3,209
2,5,260
2,13,630
3,4,282
3,5,261
3,13,840
5,7,310
5,8,490
6,7,157
7,8,270
7,9,195
8,9,130
8,10,135
9,0,306
10,12,490
10,11,1200
11,12,920
11,14,530
12,13,110
12,14,450
13,14,340
